Carrier,Region,Start_Date,,,,,,,,,
26Q,International,4/1/2015,,,,,,,,,
27Q,International,7/1/2015,,,,,,,,,
27Q,Domestic,7/1/2015,,,,,,,,,
28Q,Domestic,7/1/2015,,,,,,,,,
29Q,Domestic,3/1/2015,,,,,,,,,
2AQ,International,7/1/2010,,,,,,,,,
D7,International,11/1/2015,,,,,,,,,
BX,International,7/1/2015,,,,,,,,,
2BQ,International,9/1/2015,,,,,,,,,
O6,International,9/1/2015,,,,,,,,,
2CQ,Domestic,1/1/2016,,,,,,,,,
2DQ,Domestic,10/1/2015,,,,,,,,,
FC,International,12/1/2015,,,,,,,,,
8I,International,4/1/2014,,,,,,,,,
2EQ,Domestic,10/1/2015,,,,,,,,,
3SD,International,8/1/2014,,,,,,,,,
5J,International,3/1/2016,,,,,,,,,
J2,International,9/1/2014,,,,,,,,,
2GQ,International,10/1/2015,,,,,,,,,
7L,International,5/1/2015,,,,,,,,,
R2,International,11/1/2013,,,,,,,,,
WR,International,3/1/2016,,,,,,,,,
HX,International,5/1/2016,,,,,,,,,
2HQ,International,4/1/2016,,,,,,,,,
2HQ,Domestic,4/1/2016,,,,,,,,,
2HQ,System,4/1/2016,,,,,,,,,
2JQ,Domestic,4/1/2016,,,,,,,,,
EW,International,6/1/2016,,,,,,,,,
AAB,International,6/1/2016,,,,,,,,,
2KQ,International,4/1/2005,,,,,,,,,
JU,International,6/1/2016,,,,,,,,,
2LQ,Domestic,7/1/2016,,,,,,,,,
2NQ,Domestic,7/1/2016,,,,,,,,,
2OQ,International,9/1/2016,,,,,,,,,
2PQ,System,7/1/2016,,,,,,,,,
2PQ,International,7/1/2016,,,,,,,,,
2PQ,Domestic,7/1/2016,,,,,,,,,
2RQ,International,7/1/2015,,,,,,,,,
2TQ,Domestic,7/1/2016,,,,,,,,,
MF,International,9/1/2016,,,,,,,,,
2P,International,6/1/2016,,,,,,,,,
P3,International,11/1/2016,,,,,,,,,
ZE,International,10/1/2016,,,,,,,,,
UO,International,12/1/2016,,,,,,,,,
0FQ,Domestic,4/1/2017,,,,,,,,,
2UQ,International,12/1/2016,,,,,,,,,
K2,Domestic,4/1/2017,,,,,,,,,
JD,International,6/1/2017,,,,,,,,,
D8,International,6/1/2017,,,,,,,,,
30Q,Domestic,4/1/2017,,,,,,,,,
34Q,System,7/1/2017,,,,,,,,,
34Q,International,7/1/2017,,,,,,,,,
34Q,Domestic,7/1/2017,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
