passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
4751,15999,0,19393,2017,6,F,9261,8474,10821,11292,612,WN,1528
5983,23466,0,19393,2017,6,F,6279,5265,14747,11292,614,WN,1529
4337,0,0,19790,2017,6,F,7447,6356,11292,14747,608,DL,1530
4489,1083,48,19790,2017,6,F,3363,2603,11292,14869,698,DL,1531
3017,0,0,20304,2017,6,F,6219,4925,11292,13244,673,OO,1532
5042,83,0,19977,2017,6,F,3442,2561,12441,11292,694,UA,1533
6246,1556,1628,19977,2017,6,F,9454,8507,14492,11292,694,UA,1534
4378,1512,168,19790,2017,6,F,6821,5475,14747,11292,608,DL,1535
2565,0,0,20500,2017,6,F,7608,6287,11292,10397,631,G7,1536
6246,2266,56522,19977,2017,6,F,7151,6100,11292,11433,614,UA,1537
7006,1511,13487,19977,2017,6,F,9142,8249,11292,13204,634,UA,1538
7196,1178,255,19977,2017,6,F,5891,5018,11292,14679,634,UA,1539
5065,482,8914,19977,2017,6,F,5276,4269,13487,11292,698,UA,1540
7402,7872,0,19393,2017,6,F,5769,4878,11292,13342,614,WN,1541
7077,6124,0,19393,2017,6,F,5738,5015,11292,14679,614,WN,1542
3004,0,0,20500,2017,6,F,5606,4458,11292,15016,631,G7,1543
1747,0,0,20304,2017,6,F,5438,4479,14783,11292,629,OO,1544
6406,5090,18839,19977,2017,6,F,8760,7661,11292,14492,694,UA,1545
9407,0,0,20436,2017,6,F,6771,5191,11292,13930,699,F9,1546
9732,0,0,20436,2017,6,F,7721,5849,13930,11292,699,F9,1547
3249,0,0,20304,2017,6,F,4779,3533,11292,11423,673,OO,1548
3110,0,0,20304,2017,6,F,7436,6365,11292,14831,673,OO,1549
3231,0,0,20304,2017,6,F,6976,5930,14831,11292,673,OO,1550
7491,18225,25930,19977,2017,6,F,10944,9732,11292,10721,634,UA,1551
7767,15937,7241,19977,2017,6,F,6872,5501,11292,13930,634,UA,1552
6859,418,43975,19977,2017,6,F,8211,7248,11433,11292,614,UA,1553
5284,446,0,19977,2017,6,F,6514,5438,13485,11292,698,UA,1554
2129,0,0,20237,2017,6,F,6332,5405,15016,11292,675,AX,1555
381,0,0,20358,2017,6,F,3677,2986,11711,11292,405,ZK,1556
6261,1727,0,19790,2017,6,F,12167,10397,12953,11292,694,DL,1557
1757,0,0,20304,2017,6,F,5615,4337,13486,11292,629,OO,1558
2847,0,0,20304,2017,6,F,6448,5455,14489,11292,673,OO,1559
