"PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,114987.00,0.00,533.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,824702.00,0.00,854.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,7527700.00,0.00,872.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,702514.00,0.00,1061.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,2017,2,6,3,"G",
0.00,571138.00,0.00,957.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,13796,1379604,32457,"OAK","Oakland, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,0.00,0.00,628.00,"X9",20377,"Omni Air International LLC","16736","I","X9","Omni Air International LLC",2,2,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,2017,2,6,2,"L",
0.00,0.00,0.00,1120.00,"09Q",21161,"Swift Air, LLC","01130","D","09Q","Swift Air, LLC",1,1,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14275,1427502,34275,"PTK","Pontiac, MI","MI","26","Michigan",43,2017,2,6,3,"L",
0.00,0.00,0.00,1413.00,"09Q",21161,"Swift Air, LLC","01130","D","09Q","Swift Air, LLC",1,1,14576,1457604,34576,"ROC","Rochester, NY","NY","36","New York",22,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"L",
0.00,627144.00,0.00,1069.00,"9S",20190,"Southern Air Inc.","06841","D","9S","Southern Air Inc.",2,2,11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"P",
0.00,431309.00,0.00,1069.00,"9S",20190,"Southern Air Inc.","06841","D","9S","Southern Air Inc.",2,2,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,2017,2,6,3,"P",
1.00,0.00,0.00,1083.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,10599,1059904,30599,"BHM","Birmingham, AL","AL","01","Alabama",51,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"F",
1.00,0.00,0.00,90.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11233,1123302,31233,"CYS","Cheyenne, WY","WY","56","Wyoming",88,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,1,"F",
1.00,0.00,0.00,764.00,"27Q",21652,"Jet Aviation Flight Services, Inc.","01194","D","27Q","Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,2017,2,6,2,"L",
1.00,0.00,0.00,937.00,"27Q",21652,"Jet Aviation Flight Services, Inc.","01194","D","27Q","Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,14831,1483104,32457,"SJC","San Jose, CA","CA","06","California",91,2017,2,6,2,"L",
1.00,0.00,0.00,764.00,"27Q",21652,"Jet Aviation Flight Services, Inc.","01194","D","27Q","Jet Aviation Flight Services, Inc.",1,1,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"L",
2.00,0.00,0.00,604.00,"04Q",21080,"Tradewind Aviation","01126","D","04Q","Tradewind Aviation",1,6,11423,1142304,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"L",
2.00,0.00,0.00,292.00,"0WQ",21352,"Avjet Corporation","01150","D","0WQ","Avjet Corporation",1,1,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,10372,1037203,30372,"ASE","Aspen, CO","CO","08","Colorado",82,2017,2,6,1,"L",
2.00,0.00,0.00,1607.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14635,1463502,31714,"RSW","Fort Myers, FL","FL","12","Florida",33,2017,2,6,4,"F",
2.00,0.00,0.00,853.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14679,1467903,33570,"SAN","San Diego, CA","CA","06","California",91,2017,2,6,2,"F",
2.00,0.00,0.00,359.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10279,1027903,30279,"AMA","Amarillo, TX","TX","48","Texas",74,2017,2,6,1,"F",
3.00,0.00,0.00,735.00,"0WQ",21352,"Avjet Corporation","01150","D","0WQ","Avjet Corporation",1,1,11503,1150303,31503,"EGE","Eagle, CO","CO","08","Colorado",82,10800,1080003,32575,"BUR","Burbank, CA","CA","06","California",91,2017,2,6,2,"L",
3.00,0.00,0.00,1659.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12391,1239102,31703,"ISP","Islip, NY","NY","36","New York",22,2017,2,6,4,"F",
3.00,0.00,0.00,725.00,"0WQ",21352,"Avjet Corporation","01150","D","0WQ","Avjet Corporation",1,1,10372,1037203,30372,"ASE","Aspen, CO","CO","08","Colorado",82,10800,1080003,32575,"BUR","Burbank, CA","CA","06","California",91,2017,2,6,2,"L",
3.00,0.00,0.00,73.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,1,"F",
